층,카테고리,하위카테고리,매장명,x_loc,y_loc,click_num,up_ment,down_ment
1F,여성패션,여성캐주얼,구호,475,560,2,왼쪽 끝에 매장이 있습니다.,오른쪽 끝에 매장이 있습니다.
1F,여성패션,여성캐주얼,더레노마,530,342,7,왼쪽 가운데쪽에 매장이 있습니다.,오른쪽 가운데쪽에 매장이 있습니다.
1F,여성패션,여성캐주얼,더아이잗컬렉션,563,510,2,왼쪽 끝에 매장이 있습니다.,오른쪽 끝에 매장이 있습니다.
1F,여성패션,여성캐주얼,데코,482,378,5,왼쪽 끝에 매장이 있습니다.,오른쪽 끝에 매장이 있습니다.
1F,여성패션,여성캐주얼,르니앤맥코이,780,262,8,오른쪽 가운데쪽에 매장이 있습니다.,오른쪽 가운데쪽에 매장이 있습니다.
1F,여성패션,여성캐주얼,모에,550,564,2,왼쪽 끝에 매장이 있습니다.,오른쪽 끝에 매장이 있습니다.
1F,여성패션,여성캐주얼,모조에스핀,555,473,3,왼쪽 가운데쪽에 매장이 있습니다.,오른쪽 가운데쪽에 매장이 있습니다.
1F,여성패션,여성캐주얼,미샤,526,510,2,왼쪽 끝에 매장이 있습니다.,오른쪽 끝에 매장이 있습니다.
1F,여성패션,여성캐주얼,보니스팍스,780,299,7,오른쪽 가운데쪽에 매장이 있습니다.,왼쪽 가운데쪽에 매장이 있습니다.
1F,여성패션,여성캐주얼,쉬즈미스,563,341,7,왼쪽 가운데쪽에 매장이 있습니다.,오른쪽 가운데쪽에 매장이 있습니다.
1F,여성패션,여성캐주얼,아이잗바바,462,431,5,왼쪽 끝에 매장이 있습니다.,오른쪽 끝에 매장이 있습니다.
1F,여성패션,여성캐주얼,올앤선드리,415,378,5,왼쪽 끝에 매장이 있습니다.,오른쪽 끝에 매장이 있습니다.
1F,여성패션,여성캐주얼,지고트,490,431,5,왼쪽에 매장이 있습니다.,오른쪽에 매장이 있습니다.
1F,여성패션,여성캐주얼,크레송,482,295,7,왼쪽 끝에 매장이 있습니다.,오른쪽 끝에 매장이 있습니다.
1F,여성패션,여성캐주얼,BCBG,415,378,5,왼쪽 끝에 매장이 있습니다.,오른쪽 끝에 매장이 있습니다.
1F,여성패션,여성정장,리본,541,265,8,왼쪽 가운데쪽에 매장이 있습니다.,왼쪽 가운데쪽에 매장이 있습니다.
1F,여성패션,여성정장,벨리시앙,541,297,7,왼쪽 가운데쪽에 매장이 있습니다.,오른쪽 가운데쪽에 매장이 있습니다.
1F,여성패션,여성정장,비너스,415,194,8,왼쪽 끝에 매장이 있습니다.,왼쪽 끝에 매장이 있습니다.
1F,여성패션,여성정장,비비안,415,194,8,왼쪽 끝에 매장이 있습니다.,왼쪽 끝에 매장이 있습니다.
1F,여성패션,여성정장,쁘렝땅,475,595,1,왼쪽 끝에 매장이 있습니다.,오른쪽 끝에 매장이 있습니다.
1F,여성패션,여성정장,코데즈컴바인 이너웨어,415,194,8,왼쪽 끝에 매장이 있습니다.,왼쪽 끝에 매장이 있습니다.
1F,여성패션,영캐주얼,기비앤키이스,482,340,7,왼쪽 끝에 매장이 있습니다.,오른쪽 끝에 매장이 있습니다.
1F,여성패션,영캐주얼,나이스클랍,663,511,2,왼쪽에 매장이 있습니다.,오른쪽에 매장이 있습니다.
1F,여성패션,영캐주얼,더아이잗,770,465,3,오른쪽 가운데쪽에 매장이 있습니다.,왼쪽 가운데쪽에 매장이 있습니다.
1F,여성패션,영캐주얼,더틸버리,618,261,8,왼쪽 가운데쪽에 매장이 있습니다.,왼쪽 가운데쪽에 매장이 있습니다.
1F,여성패션,영캐주얼,듀엘,641,297,7,왼쪽에 매장이 있습니다.,오른쪽에 매장이 있습니다.
1F,여성패션,영캐주얼,라인,530,378,5,왼쪽 가운데쪽에 매장이 있습니다.,오른쪽 가운데쪽에 매장이 있습니다.
1F,여성패션,영캐주얼,리스트,742,378,5,오른쪽에 매장이 있습니다.,왼쪽에 매장이 있습니다.
1F,여성패션,영캐주얼,리안뉴욕,775,340,7,오른쪽 가운데쪽에 매장이 있습니다.,왼쪽 가운데쪽에 매장이 있습니다.
1F,여성패션,영캐주얼,발렌시아,742,462,3,오른쪽에 매장이 있습니다.,왼쪽에 매장이 있습니다.
1F,여성패션,영캐주얼,베네통,800,465,3,오른쪽 끝에 매장이 있습니다.,왼쪽 끝에 매장이 있습니다.
